('WHY', 'WRB')
('He', 'PRP')
('ran', 'VBD')
('tree', 'RB')
('rubbed', 'VBN')
('pitch', 'JJ')
('eyes', 'NNS')
('sleeping', 'VBG')
('fox', 'NN')
('.', '.')
('The', 'DT')
('fox', 'JJ')
('awoke', 'NN')
('.', '.')
('He', 'PRP')
('sprang', 'VBD')
('tried', 'JJ')
('seize', 'NN')
('coon', 'NN')
(',', ',')
(',', ',')
('alas', 'UH')
('!', '.')
('could', 'MD')
('see', 'VB')
('.', '.')
('The', 'DT')
('lids', 'NNS')
('eyes', 'NNS')
('held', 'VBD')
('fast', 'RB')
('pine', 'JJ')
('gum', 'NN')
('.', '.')
('He', 'PRP')
('could', 'MD')
('open', 'VB')
('.', '.')
('The', 'DT')
('coon', 'NN')
('laughed', 'VBD')
('fox', 'NN')
("'s", 'POS')
('plight', 'NN')
(',', ',')
('ran', 'NN')
('left', 'VBD')
('.', '.')
('The', 'DT')
('fox', 'JJ')
('lay', 'NN')
('time', 'NN')
('tree', 'NN')
('.', '.')
('The', 'DT')
('pine', 'NN')
('gum', 'NN')
(',', ',')
('dried', 'VBD')
(',', ',')
('held', 'VBD')
('lids', 'JJ')
('eyes', 'NNS')
('closer', 'RBR')
('closer', 'RB')
('shut', 'NN')
('.', '.')
('He', 'PRP')
('thought', 'VBD')
('never', 'RB')
('see', 'VBN')
('sun', 'NN')
('.', '.')
('Some', 'DT')
('birds', 'NNS')
('singing', 'VBG')
('near', 'IN')
('.', '.')
('He', 'PRP')
('called', 'VBD')
(',', ',')
('told', 'VBD')
('plight', 'NN')
('.', '.')
('He', 'PRP')
('asked', 'VBD')
('would', 'MD')
('kind', 'NN')
('pick', 'VB')
('open', 'JJ')
('eyes', 'NNS')
('.', '.')
('The', 'DT')
('birds', 'NNS')
('flew', 'VBD')
('told', 'JJ')
('birds', 'NNS')
('.', '.')
('Soon', 'RB')
('many', 'JJ')
('little', 'JJ')
('dark', 'JJ')
('songsters', 'NNS')
('flew', 'VBD')
('back', 'RB')
('fox', 'JJ')
('lay', 'NN')
('.', '.')
('Then', 'RB')
('peck', 'NN')
(',', ',')
('peck', 'NN')
(',', ',')
('peck', 'NN')
(',', ',')
('went', 'VBD')
('little', 'JJ')
('bills', 'NNS')
('eyelids', 'NNS')
('fox', 'NNS')
('.', '.')
('Bit', 'NNP')
('bit', 'VBZ')
('carefully', 'RB')
('pecked', 'VBN')
('away', 'RP')
('pine', 'JJ')
('gum', 'NN')
('.', '.')
('If', 'IN')
('one', 'CD')
('grew', 'VBD')
('tired', 'VBN')
(',', ',')
('another', 'DT')
('bird', 'NN')
('would', 'MD')
('take', 'VB')
('place', 'NN')
('.', '.')
('At', 'IN')
('last', 'JJ')
('fox', 'NN')
('saw', 'VBD')
('streak', 'JJ')
('light', 'NN')
('.', '.')
('Soon', 'RB')
('lid', 'JJ')
('one', 'CD')
('eye', 'NN')
('flew', 'VBD')
('open', 'JJ')
(',', ',')
('.', '.')
('The', 'DT')
('sun', 'NN')
('shining', 'NN')
(',', ',')
('world', 'NN')
('looked', 'VBD')
('beautiful', 'JJ')
('fox', 'NN')
(',', ',')
('opened', 'VBD')
('eyes', 'NNS')
('.', '.')
('He', 'PRP')
('grateful', 'VBD')
('little', 'JJ')
('birds', 'NNS')
('bringing', 'VBG')
('light', 'NN')
('.', '.')
('He', 'PRP')
('told', 'VBD')
('ask', 'NN')
('would', 'MD')
(',', ',')
('would', 'MD')
('give', 'VB')
('.', '.')
('The', 'DT')
('little', 'JJ')
('birds', 'NNS')
('said', 'VBD')
(',', ',')
('``', '``')
('We', 'PRP')
('like', 'VBP')
('plain', 'RB')
(',', ',')
('dark', 'JJ')
('suits', 'NNS')
('Turkey', 'NNP')
('Buzzard', 'NNP')
('brought', 'VBD')
('us', 'PRP')
('.', '.')
('Make', 'NNP')
('us', 'PRP')
('look', 'VBP')
('like', 'IN')
('sun', 'NN')
('brought', 'NN')
('.', '.')
("''", "''")
('The', 'DT')
('fox', 'NN')
('looked', 'VBD')
('.', '.')
('Beautiful', 'NNP')
('yellow', 'JJ')
('flowers', 'NNS')
('growing', 'VBG')
('near', 'IN')
('.', '.')
('He', 'PRP')
('pressed', 'VBD')
('sun', 'NN')
('color', 'NN')
(',', ',')
('tip', 'NN')
('tail', 'NN')
('brush', 'NN')
(',', ',')
('began', 'VBD')
('paint', 'JJ')
('dark', 'JJ')
('little', 'JJ')
('birds', 'NNS')
('like', 'IN')
('sun', 'NN')
('.', '.')
('The', 'DT')
('birds', 'NNS')
('fluttered', 'VBD')
('joy', 'NN')
(',', ',')
('thought', 'VBN')
('would', 'MD')
('paint', 'VB')
('bodies', 'NNS')
('first', 'RB')
('.', '.')
('Before', 'IN')
('could', 'MD')
('brush', 'VB')
('wings', 'NNS')
('tails', 'NNS')
('sun', 'JJ')
('paint', 'NN')
(',', ',')
('little', 'JJ')
('bird', 'NN')
('darted', 'VBD')
('away', 'RB')
(',', ',')
('like', 'IN')
('streak', 'JJ')
('sunshine', 'NN')
('.', '.')
('So', 'RB')
('happy', 'JJ')
('light', 'JJ')
('heart', 'NN')
('birds', 'NNS')
(',', ',')
('could', 'MD')
('wait', 'VB')
('fox', 'JJ')
('finish', 'JJ')
('painting', 'NN')
('.', '.')
('This', 'DT')
('goldfinches', 'VBZ')
('yellow', 'VBP')
('like', 'IN')
('sun', 'NN')
('.', '.')
('It', 'PRP')
('black', 'JJ')
('wings', 'NNS')
('tails', 'NNS')
(',', ',')
('flutter', 'NN')
('joy', 'NN')
(',', ',')
('never', 'RB')
('finish', 'NN')
('song', 'NN')
('.', '.')
