('KAZHA-NDII', 'NNP')
(',', ',')
('lighted', 'VBD')
('candle', 'NN')
(',', ',')
(',', ',')
('soon', 'RB')
('sat', 'VBD')
(',', ',')
('uproar', 'JJ')
('began', 'VBD')
(',', ',')
('affrighted', 'VBD')
('.', '.')
('At', 'IN')
('approach', 'NN')
('monster', 'NN')
('earthquake', 'NN')
('began', 'VBD')
(',', ',')
('youth', 'NN')
('afraid', 'JJ')
(',', ',')
('swung', 'JJ')
('sword', 'NN')
('round', 'NN')
('head', 'NN')
(',', ',')
('cleft', 'NN')
('monster', 'NN')
('twain', 'NN')
(',', ',')
('monster', 'NN')
("'s", 'POS')
('blood', 'NN')
('put', 'VBD')
('candle', 'NNS')
('.', '.')
('Looking', 'VBG')
('round', 'NN')
(',', ',')
('youth', 'NN')
('saw', 'VBD')
(',', ',')
('way', 'NN')
(',', ',')
('blaze', 'JJ')
('fire', 'NN')
('.', '.')
('He', 'PRP')
('arose', 'VBD')
('went', 'VBD')
('thither', 'RB')
('.', '.')
('On', 'IN')
('way', 'NN')
('said', 'VBD')
('cock', 'NN')
(':', ':')
("'Crow", 'NN')
(',', ',')
('dawn', 'NN')
('break', 'NN')
('till', 'NN')
('I', 'PRP')
('come', 'VBP')
('back', 'RB')
(',', ',')
('I', 'PRP')
('shall', 'MD')
('slay', 'VB')
('thee', 'NN')
('.', '.')
("'", "''")
('When', 'WRB')
('came', 'VBD')
('near', 'RB')
(',', ',')
('met', 'VBD')
('vast', 'JJ')
('river', 'NN')
('like', 'IN')
('sea', 'NN')
('.', '.')
('When', 'WRB')
('swum', 'NN')
('reached', 'VBD')
('side', 'NN')
(',', ',')
('youth', 'NN')
('saw', 'VBD')
('fire', 'JJ')
('burning', 'NN')
('among', 'IN')
('demis', 'JJ')
(',', ',')
('sitting', 'VBG')
('round', 'NN')
('--', ':')
('stopped', 'VBD')
('bethought', 'RB')
('seriously', 'RB')
(';', ':')
(',', ',')
('last', 'JJ')
(',', ',')
('took', 'VBD')
('leap', 'NN')
(',', ',')
('jumped', 'VBD')
('middle', 'NN')
(',', ',')
('seized', 'VBD')
('burning', 'NN')
('brand', 'NN')
(',', ',')
('ran', 'VBD')
('away', 'RB')
('.', '.')
('The', 'DT')
('burning', 'NN')
('cinders', 'NNS')
('ashes', 'NNS')
('showered', 'VBD')
('demis', 'NN')
(',', ',')
('see', 'VBP')
('youth', 'RB')
('.', '.')
('The', 'DT')
('youth', 'NN')
('went', 'VBD')
('back', 'RB')
(',', ',')
('crossed', 'VBD')
('river', 'NN')
('burning', 'NN')
('log', 'NN')
('went', 'VBD')
('.', '.')
('He', 'PRP')
('angry', 'JJ')
(',', ',')
('could', 'MD')
('?', '.')
('He', 'PRP')
('went', 'VBD')
('back', 'RB')
(',', ',')
('threw', 'VBD')
('upon', 'IN')
('fire', 'NN')
('demis', 'NN')
('caught', 'NN')
(',', ',')
('asked', 'VBD')
('wanted', 'VBN')
('.', '.')
('He', 'PRP')
('told', 'VBD')
('.', '.')
('The', 'DT')
('demis', 'NN')
('said', 'VBD')
(':', ':')
("'In", 'CD')
('yonder', 'JJR')
('castle', 'NN')
('dwell', 'NN')
('three', 'CD')
('maidens', 'NNS')
('unseen', 'JJ')
('sun', 'NN')
(',', ',')
('thou', 'NN')
('must', 'MD')
('bring', 'VB')
('us', 'PRP')
('let', 'VB')
('thee', 'JJ')
('go', 'VB')
('.', '.')
("'", "''")
('The', 'DT')
('youth', 'NN')
('asked', 'VBD')
(':', ':')
("'Is", 'CD')
('ladder', 'NN')
('castle', 'NN')
('?', '.')
("'", "''")
('They', 'PRP')
('answered', 'VBD')
(':', ':')
("'Yes", 'NN')
('.', '.')
("'", "''")
("'Then", 'POS')
('let', 'VB')
('us', 'PRP')
('go', 'VB')
(',', ',')
("'", "''")
('said', 'VBD')
('.', '.')
('He', 'PRP')
('took', 'VBD')
('demis', 'NN')
(',', ',')
('said', 'VBD')
(':', ':')
("'", "''")
('I', 'PRP')
('shall', 'MD')
('climb', 'VB')
('first', 'RB')
(',', ',')
('must', 'MD')
('come', 'VB')
('one', 'CD')
('one', 'CD')
('.', '.')
("'", "''")
('They', 'PRP')
('agreed', 'VBD')
('.', '.')
('The', 'DT')
('youth', 'NN')
('went', 'VBD')
(',', ',')
('one', 'CD')
('demi', 'NN')
('came', 'VBD')
('.', '.')
('As', 'IN')
('soon', 'RB')
('first', 'JJ')
('demi', 'NN')
('reached', 'VBN')
('top', 'NN')
(',', ',')
('youth', 'RB')
('brandished', 'VBN')
('sword', 'NN')
(',', ',')
('slew', 'NN')
(',', ',')
('laid', 'VBN')
('body', 'NN')
('.', '.')
('When', 'WRB')
('second', 'JJ')
('came', 'VBD')
(',', ',')
('likewise', 'RB')
('unto', 'NN')
('.', '.')
('Thus', 'RB')
('slew', 'NN')
(',', ',')
('one', 'CD')
('one', 'CD')
(',', ',')
('left', 'VBD')
('bodies', 'NNS')
('.', '.')
('Then', 'RB')
('went', 'VBD')
(',', ',')
('saluted', 'VBD')
('maidens', 'NNS')
(',', ',')
('gave', 'VBD')
('ring', 'NN')
('--', ':')
('youngest', 'JJS')
(',', ',')
('others', 'NNS')
('brothers', 'NNS')
('.', '.')
('The', 'DT')
('youth', 'NN')
('went', 'VBD')
(',', ',')
('thrust', 'NN')
('sword', 'NN')
('stone', 'NN')
(',', ',')
('left', 'VBD')
(',', ',')
('took', 'VBD')
('fire', 'NN')
(',', ',')
('went', 'VBD')
('back', 'RB')
('.', '.')
('When', 'WRB')
('crossed', 'VBN')
('river', 'NN')
(',', ',')
('cried', 'JJ')
('cock', 'NN')
(':', ':')
("'Now", 'JJ')
('crow', 'NN')
('!', '.')
("'", "''")
('Then', 'RB')
('went', 'VBD')
('father', 'PRP')
("'s", 'VBZ')
('grave', 'NN')
('.', '.')
('Till', 'NNP')
('dawn', 'NN')
('stayed', 'VBD')
(',', ',')
('went', 'VBD')
('home', 'NN')
('.', '.')
('The', 'DT')
('beautiful', 'NN')
('maidens', 'NNS')
('told', 'VBD')
('king', 'NN')
('happened', 'VBD')
('.', '.')
('The', 'DT')
('king', 'NN')
('ordered', 'VBD')
('subjects', 'NNS')
('summoned', 'VBN')
(',', ',')
('asked', 'VBD')
(':', ':')
("'Who", 'CD')
('able', 'JJ')
('draw', 'NN')
('sword', 'NN')
('stone', 'NN')
('?', '.')
("'", "''")
('But', 'CC')
('nobody', 'NN')
('could', 'MD')
('draw', 'VB')
('.', '.')
('Then', 'RB')
('king', 'VBG')
('made', 'VBN')
('proclamation', 'NN')
(':', ':')
("'To", 'CD')
('draw', 'IN')
('sword', 'NN')
('I', 'PRP')
('give', 'VBP')
('daughter', 'NN')
('.', '.')
("'", "''")
('The', 'DT')
('princes', 'NNS')
(',', ',')
('soon', 'RB')
('heard', 'NN')
(',', ',')
('decided', 'VBD')
('go', 'VB')
('thither', 'RB')
('.', '.')
('When', 'WRB')
('making', 'VBG')
('ready', 'JJ')
('journey', 'NN')
(',', ',')
('youngest', 'JJS')
('asked', 'VBD')
('brothers', 'NNS')
('take', 'VBP')
('.', '.')
('At', 'IN')
('last', 'JJ')
('consented', 'JJ')
('take', 'NN')
('.', '.')
('When', 'WRB')
('arrived', 'VBN')
(',', ',')
('found', 'VBN')
('great', 'JJ')
('uproar', 'JJ')
(':', ':')
('people', 'NNS')
('parts', 'NNS')
('world', 'NN')
(',', ',')
('turn', 'NN')
(',', ',')
('laying', 'VBG')
('hold', 'NN')
('sword', 'NN')
(',', ',')
('could', 'MD')
('draw', 'VB')
('.', '.')
('Last', 'JJ')
(',', ',')
('youngest', 'JJS')
('brother', 'NN')
('came', 'VBD')
(',', ',')
('pulled', 'VBD')
('sword', 'NN')
(',', ',')
('put', 'VB')
('scabbard', 'NN')
(',', ',')
('said', 'VBD')
('king', 'NN')
(':', ':')
("'All", 'CD')
('three', 'CD')
('daughters', 'NNS')
(',', ',')
('I', 'PRP')
('two', 'CD')
('brothers', 'NNS')
('.', '.')
("'", "''")
('He', 'PRP')
('called', 'VBD')
('brothers', 'NNS')
(',', ',')
('took', 'VBD')
('three', 'CD')
('maidens', 'NNS')
('wife', 'NN')
('.', '.')
('Great', 'NNP')
('merry-making', 'JJ')
('began', 'VBD')
('.', '.')
('The', 'DT')
('king', 'NN')
('gave', 'VBD')
('wife', 'NN')
('youngest', 'JJS')
('prince', 'NN')
('flying', 'VBG')
('carpet', 'NN')
(',', ',')
('carried', 'VBD')
('away', 'RB')
('one', 'CD')
('sat', 'NN')
('.', '.')
('The', 'DT')
('princess', 'NN')
('sat', 'VBD')
(',', ',')
('followed', 'VBD')
('suite', 'NN')
('.', '.')
('The', 'DT')
('groomsmen', 'NNS')
('youths', 'NNS')
('set', 'VBN')
('.', '.')
('When', 'WRB')
('gone', 'VBN')
('half', 'DT')
('way', 'NN')
(',', ',')
('monster', 'NN')
('swooped', 'VBD')
('princess', 'NN')
('carried', 'VBD')
('.', '.')
('A', 'DT')
('sad', 'JJ')
('uproar', 'NN')
('began', 'VBD')
(',', ',')
('done', 'VBN')
('?', '.')
('The', 'DT')
('young', 'JJ')
('prince', 'NN')
('said', 'VBD')
('brothers', 'NNS')
(':', ':')
("'Farewell", 'NN')
('!', '.')
('I', 'PRP')
('must', 'MD')
('perish', 'VB')
(',', ',')
("'", "''")
('went', 'VBD')
('away', 'RB')
('.', '.')
('He', 'PRP')
('went', 'VBD')
(',', ',')
('went', 'VBD')
(',', ',')
('went', 'VBD')
(',', ',')
('went', 'VBD')
('far', 'RB')
('could', 'MD')
(',', ',')
('field', 'NN')
('found', 'VBD')
('spring', 'NN')
(',', ',')
('beside', 'RB')
('lay', 'NN')
('.', '.')
('There', 'EX')
('came', 'VBD')
('boy', 'JJ')
('water', 'NN')
('jug', 'NN')
('.', '.')
('The', 'DT')
('prince', 'NN')
('asked', 'VBD')
(':', ':')
("'Whose", 'JJ')
('village', 'NN')
('?', '.')
("'", "''")
('The', 'DT')
('boy', 'NN')
('replied', 'VBD')
(':', ':')
("'Here", 'RB')
('dwell', 'VBP')
('three', 'CD')
('brother', 'NN')
('demis', 'NN')
(',', ',')
('married', 'VBD')
('daughters', 'NNS')
('one', 'CD')
('king', 'NN')
('.', '.')
("'", "''")
('When', 'WRB')
('youth', 'NN')
('heard', 'NN')
('glad', 'NN')
(',', ',')
('turned', 'VBD')
('sisters', 'NNS')
('dwelt', 'NN')
('.', '.')
('When', 'WRB')
('came', 'VBD')
('near', 'RB')
(',', ',')
('sisters', 'NNS')
('went', 'VBD')
('meet', 'NN')
('.', '.')
('It', 'PRP')
('easy', 'JJ')
('imagine', 'JJ')
('glad', 'NN')
('see', 'NN')
('.', '.')
('When', 'WRB')
('dark', 'NN')
(',', ',')
('three', 'CD')
('demis', 'NN')
('returned', 'VBD')
('.', '.')
('One', 'CD')
('sisters', 'NNS')
('went', 'VBD')
('meet', 'NN')
(',', ',')
('said', 'VBD')
(':', ':')
("'My", 'MD')
('brother', 'VB')
('come', 'VB')
('.', '.')
("'", "''")
('The', 'DT')
('demis', 'NN')
('answered', 'VBD')
(':', ':')
("'If", 'CD')
('elder', 'JJR')
('brothers', 'NNS')
('come', 'VBP')
(',', ',')
('make', 'VBP')
('roast', 'JJ')
('meat', 'NN')
(',', ',')
('youngest', 'JJS')
(',', ',')
('shall', 'MD')
('know', 'VB')
('honour', 'NN')
('.', '.')
("'", "''")
('The', 'DT')
('demis', 'NN')
('went', 'VBD')
(',', ',')
('kissed', 'VBD')
('youth', 'RB')
('joy', 'JJ')
('meeting', 'NN')
('.', '.')
('As', 'IN')
('sitting', 'VBG')
('round', 'NN')
('hearth', 'NN')
(',', ',')
('demis', 'NN')
('began', 'VBD')
('sigh', 'JJ')
('deeply', 'NN')
('.', '.')
('The', 'DT')
('youth', 'NN')
('asked', 'VBD')
(':', ':')
("'Why", 'VB')
('sigh', 'VB')
('?', '.')
("'", "''")
("'Why", 'FW')
('?', '.')
('--', ':')
('sorry', 'JJ')
('poor', 'JJ')
('damsel', 'NN')
('!', '.')
('Kazha-Ndii-Kerkun', 'NNP')
('(', '(')
('i.e', 'NN')
('.', '.')
('swift', 'NN')
(',', ',')
('flint-like', 'JJ')
('demi', 'NN')
(')', ')')
('carrying', 'VBG')
('air', 'NN')
('golden-haired', 'JJ')
('woman', 'NN')
(';', ':')
('pursued', 'VBN')
(',', ',')
('succeeded', 'VBD')
('pulling', 'VBG')
('lock', 'NN')
('woman', 'NN')
("'s", 'POS')
('hair', 'NN')
('.', '.')
("'", "''")
('They', 'PRP')
('showed', 'VBD')
('hair', 'NN')
('youth', 'NN')
('.', '.')
('As', 'IN')
('soon', 'RB')
('saw', 'VBD')
('fainted', 'VBN')
(',', ',')
('crying', 'VBG')
(':', ':')
("'Ah", 'NN')
('!', '.')
('woe', 'NN')
('!', '.')
('woe', 'NN')
('!', '.')
("'", "''")
('The', 'DT')
('demis', 'NN')
('asked', 'VBD')
('wrong', 'JJ')
('.', '.')
('He', 'PRP')
('told', 'VBD')
('.', '.')
('As', 'IN')
('soon', 'RB')
('day', 'NN')
('dawned', 'VBD')
(',', ',')
('youth', 'NN')
('arose', 'NN')
(',', ',')
('made', 'VBN')
('ready', 'JJ')
('depart', 'NN')
('.', '.')
('The', 'DT')
('demis', 'NN')
('sorry', 'NN')
(',', ',')
('could', 'MD')
('?', '.')
('They', 'PRP')
('gave', 'VBD')
('horse', 'NN')
('little', 'JJ')
('dog', 'NN')
('.', '.')
('The', 'DT')
('youth', 'NN')
('set', 'NN')
(',', ',')
('came', 'VBD')
('house', 'NN')
('Kazha-Ndii', 'NNP')
(';', ':')
('Kazha-Ndii', 'NNP')
('home', 'NN')
('.', '.')
('He', 'PRP')
('dismounted', 'VBD')
(',', ',')
('went', 'VBD')
('princess', 'NN')
(';', ':')
('saw', 'NN')
(',', ',')
('joy', 'NN')
('great', 'JJ')
('fell', 'VBD')
('ground', 'NN')
('.', '.')
('The', 'DT')
('princess', 'NN')
('said', 'VBD')
(':', ':')
("'", "''")
('O', 'NNP')
('youth', 'NN')
(',', ',')
('hast', 'NN')
('thou', 'NN')
('sought', 'VBD')
('thy', 'JJ')
('doom', 'NN')
('?', '.')
('Against', 'IN')
('Kazha-Ndii', 'NNP')
('thou', 'NN')
('canst', 'NN')
('nothing', 'NN')
('.', '.')
("'", "''")
('But', 'CC')
('young', 'JJ')
('man', 'NN')
('would', 'MD')
('hearken', 'VB')
(',', ',')
('lifted', 'JJ')
('horse', 'NN')
('.', '.')
('As', 'IN')
('soon', 'RB')
('reached', 'VBN')
('gate', 'NN')
(',', ',')
('creaked', 'VBD')
('loudly', 'RB')
('star', 'NN')
('fell', 'VBD')
('heaven', 'RB')
('.', '.')
('The', 'DT')
('door', 'NN')
('cried', 'VBD')
(':', ':')
("'Kazha-Ndii-Kerkun", 'CD')
(',', ',')
('art', 'NN')
('thou', 'NN')
('?', '.')
('carried', 'VBN')
('thy', 'JJ')
('wife', 'NN')
('.', '.')
("'", "''")
('Kazha-Ndii', 'NNP')
('heard', 'NN')
(',', ',')
('pursued', 'VBN')
('.', '.')
('When', 'WRB')
('overtaking', 'VBG')
(',', ',')
('Kazha-Ndii', 'NNP')
("'s", 'POS')
('horse', 'NN')
('neighed', 'VBD')
('loudly', 'RB')
('stopped', 'VBD')
('princess', 'NN')
("'s", 'POS')
('horse', 'NN')
('.', '.')
('The', 'DT')
('princess', 'NN')
('said', 'VBD')
(':', ':')
("'", "''")
('O', 'NNP')
('youth', 'NN')
(',', ',')
('I', 'PRP')
('tell', 'VBP')
('thee', 'RB')
('would', 'MD')
('?', '.')
('Save', 'VB')
('thyself', 'PRP')
('least', 'JJS')
('.', '.')
("'", "''")
('Then', 'RB')
('Kazha-Ndii', 'NNP')
('rode', 'NN')
(',', ',')
('cut', 'VBD')
('youth', 'NN')
('pieces', 'NNS')
(',', ',')
('carried', 'VBD')
('wife', 'NN')
('back', 'RB')
('.', '.')
('The', 'DT')
('little', 'JJ')
('dog', 'NN')
('came', 'VBD')
(',', ',')
('gathered', 'VBD')
('scattered', 'JJ')
('fragments', 'NNS')
('young', 'JJ')
('man', 'NN')
("'s", 'POS')
('body', 'NN')
(',', ',')
('put', 'VBD')
('bag', 'NN')
(',', ',')
('tied', 'VBN')
('saddle', 'NN')
(',', ',')
('mounted', 'VBD')
('horse', 'NN')
(',', ',')
('took', 'VBD')
('body', 'NN')
('demis', 'NN')
('.', '.')
('When', 'WRB')
('demis', 'NN')
('saw', 'VBD')
('wept', 'RBR')
('greatly', 'RB')
(',', ',')
('youngest', 'JJS')
('brother', 'NN')
('blew', 'VBD')
('soul', 'NN')
('back', 'RB')
('pieces', 'NNS')
(',', ',')
('raised', 'VBD')
('youth', 'JJ')
('life', 'NN')
('.', '.')
('The', 'DT')
('prince', 'NN')
('arose', 'NN')
(',', ',')
('made', 'VBN')
('ready', 'JJ')
('depart', 'NN')
(';', ':')
('youngest', 'JJS')
('demi', 'NN')
('said', 'VBD')
(':', ':')
("'Here", 'POS')
('three-legged', 'JJ')
('horse', 'NN')
(',', ',')
('take', 'VBP')
('thee', 'NN')
(';', ':')
('help', 'NN')
('thee', 'VB')
('help', 'NN')
('hope', 'NN')
('.', '.')
("'", "''")
('The', 'DT')
('youth', 'NN')
('mounted', 'VBD')
('horse', 'NN')
(',', ',')
('came', 'VBD')
('princess', 'NN')
(',', ',')
('took', 'VBD')
('put', 'VBN')
('horse', 'NN')
('.', '.')
('When', 'WRB')
('riding', 'VBG')
('gate', 'NN')
('creaked', 'VBD')
('loudly', 'RB')
('.', '.')
('Kazha-Ndii', 'NNP')
('heard', 'NN')
('pursued', 'NN')
('.', '.')
('As', 'IN')
('overtaking', 'NN')
(',', ',')
('Kazha-Ndii', 'NNP')
("'s", 'POS')
('horse', 'NN')
('neighed', 'VBD')
(',', ',')
('youth', 'NN')
("'s", 'POS')
('horse', 'NN')
('slackened', 'VBD')
('speed', 'NN')
('.', '.')
('The', 'DT')
('young', 'JJ')
('prince', 'NN')
('said', 'VBD')
('horse', 'NN')
(':', ':')
("'Why", 'POS')
('doest', 'JJS')
('thou', 'NN')
('?', '.')
("'", "''")
("'What", 'IN')
('I', 'PRP')
('?', '.')
('If', 'IN')
('I', 'PRP')
('fourth', 'JJ')
('leg', 'NN')
('I', 'PRP')
('might', 'MD')
('victorious', 'VB')
('.', '.')
("'", "''")
('When', 'WRB')
('Kazha-Ndii', 'NNP')
('came', 'VBD')
('near', 'IN')
(',', ',')
('three-legged', 'JJ')
('horse', 'NN')
('neighed', 'VBD')
('loudly', 'RB')
('stopped', 'VBD')
('Kazha-Ndii', 'NNP')
("'s", 'POS')
('horse', 'NN')
('.', '.')
('Then', 'RB')
('youth', 'NN')
('came', 'VBD')
(',', ',')
('brandished', 'VBD')
('sword', 'NN')
(',', ',')
('cut', 'VBD')
('Kazha-Ndii', 'NNP')
('halves', 'NNS')
(',', ',')
('put', 'VBD')
('princess', 'JJ')
('horse', 'NN')
(',', ',')
('rode', 'VBD')
('merrily', 'RB')
('away', 'RB')
('.', '.')
('They', 'PRP')
('visited', 'VBD')
('demis', 'JJ')
('went', 'VBD')
('home', 'NN')
('.', '.')
